run_index,algorithm,seed,decision_index,sim_time,altitude,velocity,current_net,target_net,handover,score_5g,score_lte,score_wifi,sinr_5g,rsrp_5g,delay_5g,throughput_5g,plr_5g,sinr_lte,rsrp_lte,delay_lte,throughput_lte,plr_lte,sinr_wifi,rsrp_wifi,delay_wifi,throughput_wifi,plr_wifi
0,topsis-q,,0,0.000,100.0000,20.0000,0,0,0,0.634446,0.000000,0.433677,4.4932,-90.5068,1.0000,0.0000,0.000000,-14.6541,-114.6541,10.0000,0.0000,0.000000,73.0000,-20.0000,10.0000,0.0000,0.000000
0,topsis-q,,1,0.100,100.0000,20.0000,0,0,0,0.652938,0.000000,0.422802,4.5106,-90.4894,1.0000,0.0000,0.000000,-14.6110,-114.6110,10.0000,0.0000,0.000000,63.9691,-29.0309,10.0000,0.0000,0.000000
0,topsis-q,,2,0.200,100.0000,20.0000,0,2,1,0.395012,0.000000,1.000000,4.5279,-90.4721,1.0000,0.0000,0.000000,-14.5678,-114.5678,10.0000,0.0000,0.000000,54.9382,-38.0618,0.0001,0.0000,0.000000
0,topsis-q,,3,0.300,100.0000,20.0000,2,2,0,0.228827,0.000000,1.000000,4.5453,-90.4547,1.0000,0.0000,0.000000,-14.5245,-114.5245,10.0000,0.0000,0.000000,49.6555,-43.3445,0.0001,0.4915,0.000000
0,topsis-q,,4,0.400,100.0000,20.0000,2,2,0,0.239033,0.000000,0.996351,4.5627,-90.4373,1.0000,0.0000,0.000000,-14.4811,-114.4811,10.0000,0.0000,0.000000,45.9073,-47.0927,1.1530,0.4915,0.000000
0,topsis-q,,5,0.500,100.0000,20.0000,2,2,0,0.606531,0.000000,0.630243,4.5802,-90.4198,1.0004,2.0736,0.000000,-14.4375,-114.4375,10.0000,0.0000,0.000000,43.0000,-50.0000,0.8288,0.4915,0.000000
0,topsis-q,,6,0.600,100.0000,20.0000,2,2,0,0.618433,0.000000,0.622887,4.5977,-90.4024,1.0004,2.1168,0.000000,-14.3939,-114.3939,10.0000,0.0000,0.000000,40.6246,-52.3754,0.8316,0.4915,0.000000
0,topsis-q,,7,0.700,100.0000,20.0000,2,0,1,0.718182,0.000000,0.458977,4.6151,-90.3849,1.0004,2.0736,0.020408,-14.3501,-114.3501,8.4844,0.4752,0.083333,38.6162,-54.3838,2.0148,0.5325,0.027397
0,topsis-q,,8,0.800,100.0000,20.0000,0,0,0,0.728857,0.013367,0.413615,4.6327,-90.3673,1.0004,2.1168,0.000000,-14.3061,-114.3061,8.5567,0.5184,0.000000,36.8764,-56.1236,2.0750,0.4915,0.000000
0,topsis-q,,9,0.900,100.0000,20.0000,0,0,0,0.735478,0.013419,0.410544,4.6502,-90.3498,1.0004,2.1168,0.000000,-14.2621,-114.2621,8.4193,0.5184,0.000000,35.3418,-57.6582,2.0789,0.4915,0.000000
0,topsis-q,,10,1.000,100.0000,20.0000,0,0,0,0.484901,0.471821,0.318607,4.6678,-90.3322,1.0004,2.1168,1.000000,-14.2179,-114.2179,8.5320,0.5184,0.000000,33.9691,-59.0309,2.0974,0.4915,1.000000
0,topsis-q,,11,1.100,100.0000,20.0000,0,0,0,0.732433,0.033930,0.427361,4.6854,-90.3146,1.0004,2.1168,0.000000,-14.1736,-114.1736,8.4782,0.5616,0.000000,32.7273,-60.2727,2.1749,0.4915,0.000000
0,topsis-q,,12,1.200,100.0000,20.0000,0,0,0,0.757962,0.000000,0.397256,4.7030,-90.2970,1.0004,2.1168,0.000000,-14.1292,-114.1292,8.4820,0.5184,0.000000,31.5937,-61.4063,2.0892,0.5325,0.000000
0,topsis-q,,13,1.300,100.0000,20.0000,0,0,0,0.640435,0.293666,0.395978,4.7206,-90.2794,1.0004,2.0736,0.020408,-14.0846,-114.0846,8.5113,0.5184,0.000000,30.5508,-62.4492,2.0822,0.4915,0.013514
0,topsis-q,,14,1.400,100.0000,20.0000,0,0,0,0.762993,0.013632,0.398416,4.7383,-90.2617,1.0004,2.1168,0.000000,-14.0399,-114.0399,8.5407,0.5184,0.000000,29.5853,-63.4147,2.0988,0.4915,0.000000
0,topsis-q,,15,1.500,100.0000,20.0000,0,0,0,0.767746,0.013667,0.396393,4.7560,-90.2440,1.0004,2.1168,0.000000,-13.9951,-113.9951,8.4867,0.5184,0.000000,28.6864,-64.3136,2.0899,0.4915,0.000000
0,topsis-q,,16,1.600,100.0000,20.0000,0,1,1,0.470363,0.495767,0.315123,4.7737,-90.2263,1.0004,2.1168,1.000000,-13.9502,-113.9502,8.5354,0.5616,0.000000,27.8455,-65.1545,2.1851,0.4915,1.000000
0,topsis-q,,17,1.700,100.0000,20.0000,1,0,1,0.781477,0.000000,0.387103,4.7914,-90.2086,1.0004,2.1168,0.000000,-13.9051,-113.9051,8.5200,0.5184,0.000000,27.0556,-65.9444,2.0974,0.5325,0.000000
0,topsis-q,,18,1.800,100.0000,20.0000,0,0,0,0.780987,0.013763,0.390920,4.8092,-90.1908,1.0004,2.1168,0.000000,-13.8599,-113.8599,8.4660,0.5184,0.000000,26.3109,-66.6891,2.0654,0.4915,0.000000
0,topsis-q,,19,1.900,100.0000,20.0000,0,0,0,0.649115,0.299377,0.384361,4.8270,-90.1730,1.0004,2.0736,0.020408,-13.8145,-113.8145,8.4953,0.5184,0.000000,25.6065,-67.3935,2.1139,0.4915,0.013699
0,topsis-q,,20,2.000,100.0000,20.0000,0,0,0,0.789196,0.013816,0.387478,4.8448,-90.1552,1.0004,2.1168,0.000000,-13.7691,-113.7691,8.5247,0.5184,0.000000,24.9382,-68.0618,2.1034,0.4915,0.000000
0,topsis-q,,21,2.100,100.0000,20.0000,0,0,0,0.780237,0.034874,0.407678,4.8627,-90.1373,1.0004,2.1168,0.000000,-13.7234,-113.7234,8.4388,0.5616,0.000000,24.3025,-68.6975,2.1751,0.4915,0.000000
0,topsis-q,,22,2.200,100.0000,20.0000,0,0,0,0.499775,0.470533,0.295502,4.8805,-90.1195,1.0004,2.1168,1.000000,-13.6777,-113.6777,8.5580,0.5184,0.000000,23.6964,-69.3036,2.1089,0.5325,1.000000
0,topsis-q,,23,2.300,100.0000,20.0000,0,0,0,0.800670,0.013893,0.382979,4.8984,-90.1016,1.0004,2.1168,0.000000,-13.6318,-113.6318,8.5040,0.5184,0.000000,23.1173,-69.8827,2.0742,0.4915,0.000000
0,topsis-q,,24,2.400,100.0000,20.0000,0,0,0,0.804363,0.013914,0.381440,4.9164,-90.0836,1.0004,2.1168,0.000000,-13.5858,-113.5858,8.4500,0.5184,0.000000,22.5628,-70.4372,2.0944,0.4915,0.000000
0,topsis-q,,25,2.500,100.0000,20.0000,0,0,0,0.657029,0.301646,0.375884,4.9343,-90.0657,1.0004,2.0736,0.020408,-13.5396,-113.5396,8.5627,0.5184,0.000000,22.0309,-70.9691,2.1358,0.4915,0.013699
0,topsis-q,,26,2.600,100.0000,20.0000,0,0,0,0.775267,0.083049,0.444935,4.9523,-90.0477,1.0004,2.1168,0.000000,-13.4933,-113.4933,8.4960,0.5616,0.000000,21.5199,-71.4801,2.1956,0.3686,0.000000
0,topsis-q,,27,2.700,100.0000,20.0000,0,0,0,0.757795,0.292264,0.484798,4.9703,-90.0297,1.0004,2.1168,0.000000,-13.4469,-113.4469,8.5127,0.5184,0.000000,21.0282,-71.9718,2.1918,0.0000,0.041096
0,topsis-q,,28,2.800,100.0000,20.0000,0,0,0,0.648283,0.307803,0.528851,4.9883,-90.0117,1.0004,2.1168,1.000000,-13.4003,-113.4003,8.5420,0.5184,0.000000,20.5544,-72.4456,2.4840,0.0000,0.164384
0,topsis-q,,29,2.900,100.0000,20.0000,0,0,0,0.766888,0.292832,0.480616,5.0064,-89.9936,1.0004,2.1168,0.000000,-13.3535,-113.3535,8.4880,0.5184,0.000000,20.0972,-72.9028,2.4734,0.0000,0.164384
0,topsis-q,,30,3.000,100.0000,20.0000,0,0,0,0.770994,0.293506,0.479291,5.0245,-89.9755,1.0004,2.1168,0.000000,-13.3067,-113.3067,8.4340,0.5184,0.000000,19.6555,-73.3445,2.4628,0.0000,0.164384
0,topsis-q,,31,3.100,100.0000,20.0000,0,0,0,0.767750,0.311934,0.482598,5.0426,-89.9574,1.0004,2.0736,0.020408,-13.2597,-113.2597,8.5532,0.5616,0.000000,19.2282,-73.7718,2.6100,0.0000,0.175676
0,topsis-q,,32,3.200,100.0000,20.0000,0,0,0,0.779061,0.294805,0.476721,5.0608,-89.9392,1.0004,2.1168,0.000000,-13.2125,-113.2125,8.4673,0.5184,0.000000,18.8146,-74.1854,2.4693,0.0000,0.175676
0,topsis-q,,33,3.300,100.0000,20.0000,0,0,0,0.783030,0.295434,0.475474,5.0789,-89.9211,1.0004,2.1168,0.000000,-13.1652,-113.1652,8.4967,0.5184,0.000000,18.4137,-74.5863,2.4751,0.0000,0.164384
0,topsis-q,,34,3.400,100.0000,20.0000,0,0,0,0.661235,0.310558,0.522792,5.0971,-89.9029,1.0004,2.1168,1.000000,-13.1178,-113.1178,8.5260,0.5184,0.000000,18.0247,-74.9753,2.4809,0.0000,0.152778
0,topsis-q,,35,3.500,100.0000,20.0000,0,0,0,0.788006,0.302522,0.479358,5.1153,-89.8847,1.0004,2.1168,0.000000,-13.0702,-113.0702,8.5298,0.5616,0.000000,17.6471,-75.3529,2.5792,0.0000,0.162162
0,topsis-q,,36,3.600,100.0000,20.0000,0,0,0,0.794716,0.297243,0.471868,5.1336,-89.8664,1.0004,2.1168,0.000000,-13.0224,-113.0224,8.4760,0.5184,0.000000,17.2800,-75.7200,2.4710,0.0000,0.164384
0,topsis-q,,37,3.700,100.0000,20.0000,0,0,0,0.794555,0.309203,0.469388,5.1519,-89.8481,1.0004,2.0736,0.020408,-12.9745,-112.9745,8.5887,0.5184,0.000000,16.9230,-76.0770,2.5181,0.0000,0.189189
0,topsis-q,,38,3.800,100.0000,20.0000,0,0,0,0.802351,0.298391,0.469565,5.1702,-89.8298,1.0004,2.1168,0.000000,-12.9265,-112.9265,8.4513,0.5184,0.000000,16.5756,-76.4244,2.4662,0.0000,0.164384
0,topsis-q,,39,3.900,100.0000,20.0000,0,0,0,0.669827,0.313537,0.517962,5.1885,-89.8115,1.0004,2.1168,1.000000,-12.8783,-112.8783,8.4807,0.5184,0.000000,16.2372,-76.7628,2.4720,0.0000,0.152778
0,topsis-q,,40,4.000,100.0000,20.0000,0,0,0,0.807251,0.305511,0.473618,5.2069,-89.7931,1.0004,2.1168,0.000000,-12.8300,-112.8300,8.5102,0.5616,0.000000,15.9073,-77.0927,2.5751,0.0000,0.162162
0,topsis-q,,41,4.100,100.0000,20.0000,0,0,0,0.813614,0.300038,0.466242,5.2252,-89.7748,1.0004,2.1168,0.000000,-12.7815,-112.7815,8.5140,0.5184,0.000000,15.5856,-77.4144,2.4785,0.0000,0.164384
0,topsis-q,,42,4.200,100.0000,20.0000,0,0,0,0.813114,0.312035,0.463845,5.2437,-89.7563,1.0004,2.0736,0.020408,-12.7328,-112.7328,8.4600,0.5184,0.000000,15.2716,-77.7284,2.4923,0.0000,0.189189
0,topsis-q,,43,4.300,100.0000,20.0000,0,0,0,0.821021,0.301091,0.464106,5.2621,-89.7379,1.0004,2.1168,0.000000,-12.6840,-112.6840,8.5727,0.5184,0.000000,14.9650,-78.0350,2.4901,0.0000,0.164384
0,topsis-q,,44,4.400,100.0000,20.0000,0,0,0,0.824700,0.301605,0.463059,5.2806,-89.7194,1.0004,2.1168,0.000000,-12.6351,-112.6351,8.4353,0.5184,0.000000,14.6655,-78.3345,2.4630,0.0000,0.164384
0,topsis-q,,45,4.500,100.0000,20.0000,0,0,0,0.674800,0.322601,0.520679,5.2991,-89.7009,1.0004,2.1168,1.000000,-12.5860,-112.5860,8.5674,0.5616,0.000000,14.3727,-78.6273,2.5871,0.0000,0.150685
0,topsis-q,,46,4.600,100.0000,20.0000,0,0,0,0.832014,0.302610,0.461005,5.3176,-89.6824,1.0004,2.1168,0.000000,-12.5367,-112.5367,8.4687,0.5184,0.000000,14.0864,-78.9136,2.4696,0.0000,0.164384
0,topsis-q,,47,4.700,100.0000,20.0000,0,0,0,0.835653,0.303102,0.459996,5.3361,-89.6638,1.0004,2.1168,0.000000,-12.4873,-112.4873,8.4980,0.5184,0.000000,13.8062,-79.1938,2.4754,0.0000,0.175676
0,topsis-q,,48,4.800,100.0000,20.0000,0,0,0,0.834236,0.315833,0.457469,5.3547,-89.6453,1.0004,2.0736,0.020408,-12.4377,-112.4377,8.5273,0.5184,0.000000,13.5319,-79.4681,2.5058,0.0000,0.178082
0,topsis-q,,49,4.900,100.0000,20.0000,0,0,0,0.842902,0.304066,0.458014,5.3733,-89.6267,1.0004,2.1168,0.000000,-12.3879,-112.3879,8.5567,0.5184,0.000000,13.2632,-79.7368,2.4869,0.0000,0.164384
0,topsis-q,,50,5.000,100.0000,15.8114,0,0,0,0.844329,0.310811,0.463273,5.3920,-89.6080,1.0004,2.1168,0.000000,-12.3380,-112.3380,8.3938,0.5616,0.000000,13.0000,-80.0000,2.5507,0.0000,0.162162
0,topsis-q,,51,5.100,100.5000,15.8114,0,0,0,0.686311,0.319634,0.507974,5.4057,-89.5943,1.0004,2.1168,1.000000,-12.3020,-112.3020,8.5900,0.5184,0.000000,12.8059,-80.1941,2.4935,0.0000,0.152778
0,topsis-q,,52,5.200,101.0000,15.8114,0,0,0,0.851938,0.305237,0.455593,5.4195,-89.5805,1.0004,2.1168,0.000000,-12.2658,-112.2658,8.4527,0.5184,0.000000,12.6143,-80.3857,2.4664,0.0000,0.175676
0,topsis-q,,53,5.300,101.5000,15.8114,0,0,0,0.854651,0.305583,0.454877,5.4333,-89.5667,1.0004,2.1168,0.000000,-12.2296,-112.2296,8.4820,0.5184,0.000000,12.4252,-80.5748,2.4722,0.0000,0.164384
0,topsis-q,,54,5.400,102.0000,15.8114,0,0,0,0.851831,0.318247,0.452633,5.4470,-89.5530,1.0004,2.0736,0.020408,-12.1934,-112.1934,8.5113,0.5184,0.000000,12.2385,-80.7615,2.5026,0.0000,0.178082
0,topsis-q,,55,5.500,102.5000,15.8114,0,0,0,0.858069,0.312630,0.459670,5.4608,-89.5392,1.0004,2.1168,0.000000,-12.1570,-112.1570,8.5280,0.5616,0.000000,12.0542,-80.9458,2.5788,0.0000,0.162162
0,topsis-q,,56,5.600,103.0000,15.8114,0,0,0,0.862800,0.306603,0.452753,5.4747,-89.5253,1.0004,2.1168,0.000000,-12.1206,-112.1206,8.4613,0.5184,0.000000,11.8723,-81.1277,2.4682,0.0000,0.164384
